epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.418,1.1806,0.53125,1,1.18915,0.000367814,0.000367814,0.000367814
2,156.851,0.84726,0.65625,1,0.97876,0.000713789,0.000713789,0.000713789
3,234.544,0.75147,0.65179,1,1.04138,0.00103532,0.00103532,0.00103532
4,311.433,0.69687,0.65179,1,1.27023,0.00100101,0.00100101,0.00100101
5,388.169,0.63404,0.63393,1,1.19649,0.000964348,0.000964348,0.000964348
6,464.855,0.56698,0.65625,1,1.32774,0.000927685,0.000927685,0.000927685
7,541.641,0.53573,0.6875,1,1.02696,0.000891022,0.000891022,0.000891022
8,618.16,0.4815,0.67857,1,1.29632,0.000854359,0.000854359,0.000854359
9,694.346,0.45841,0.70982,1,0.9267,0.000817696,0.000817696,0.000817696
10,770.747,0.4009,0.6875,1,1.12845,0.000781033,0.000781033,0.000781033
11,847.64,0.37732,0.68304,1,1.37907,0.00074437,0.00074437,0.00074437
12,924.156,0.37576,0.67411,1,1.31958,0.000707707,0.000707707,0.000707707
13,1000.74,0.31462,0.71429,1,1.20455,0.000671044,0.000671044,0.000671044
14,1077.74,0.30047,0.70536,1,1.24286,0.000634381,0.000634381,0.000634381
15,1154.99,0.27842,0.73214,1,1.21157,0.000597718,0.000597718,0.000597718
16,1231.28,0.25319,0.70982,1,1.39575,0.000561055,0.000561055,0.000561055
17,1307.89,0.20807,0.72768,1,1.34631,0.000524392,0.000524392,0.000524392
18,1384.16,0.22162,0.74107,1,1.14821,0.000487729,0.000487729,0.000487729
19,1460.4,0.18293,0.73661,1,1.28563,0.000451066,0.000451066,0.000451066
20,1536.92,0.16682,0.72768,1,1.51463,0.000414403,0.000414403,0.000414403
21,1613.42,0.15356,0.74107,1,1.45159,0.00037774,0.00037774,0.00037774
22,1689.86,0.14412,0.73661,1,1.47693,0.000341077,0.000341077,0.000341077
23,1765.99,0.16862,0.71429,1,1.44526,0.000304414,0.000304414,0.000304414
24,1842.23,0.13045,0.74554,1,1.42261,0.000267751,0.000267751,0.000267751
25,1918.68,0.11192,0.74554,1,1.40251,0.000231088,0.000231088,0.000231088
26,1995.96,0.11991,0.74107,1,1.41025,0.000194425,0.000194425,0.000194425
27,2073.61,0.10243,0.72321,1,1.43275,0.000157762,0.000157762,0.000157762
28,2152.05,0.09421,0.74554,1,1.42613,0.000121099,0.000121099,0.000121099
29,2229.81,0.08359,0.74107,1,1.47206,8.4436e-05,8.4436e-05,8.4436e-05
30,2307.23,0.08168,0.73661,1,1.45132,4.7773e-05,4.7773e-05,4.7773e-05
